Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,06-01-2012,1550369.92,0,49.01,3.157,219.7142581,7.348
1,13-01-2012,1459601.17,0,48.53,3.261,219.8925263,7.348
1,20-01-2012,1394393.84,0,54.11,3.268,219.9856893,7.348
1,27-01-2012,1319325.59,0,54.26,3.29,220.0788523,7.348
1,03-02-2012,1636339.65,0,56.55,3.36,220.1720153,7.348
1,10-02-2012,1802477.43,1,48.02,3.409,220.2651783,7.348
1,17-02-2012,1819870,0,45.32,3.51,220.4257586,7.348
1,24-02-2012,1539387.83,0,57.25,3.555,220.636902,7.348
1,02-03-2012,1688420.76,0,60.96,3.63,220.8480454,7.348
1,09-03-2012,1675431.16,0,58.76,3.669,221.0591887,7.348
1,16-03-2012,1677472.78,0,64.74,3.734,221.2118132,7.348
1,23-03-2012,1511068.07,0,65.93,3.787,221.2864126,7.348
1,30-03-2012,1649604.63,0,67.61,3.845,221.3610119,7.348
1,06-04-2012,1899676.88,0,70.43,3.891,221.4356112,7.143
1,13-04-2012,1621031.7,0,69.07,3.891,221.5102105,7.143
1,20-04-2012,1521577.87,0,66.76,3.877,221.5640737,7.143
1,27-04-2012,1468928.37,0,67.23,3.814,221.6179368,7.143
1,04-05-2012,1684519.99,0,75.55,3.749,221.6718,7.143
1,11-05-2012,1611096.05,0,73.77,3.688,221.7256632,7.143
1,18-05-2012,1595901.87,0,70.33,3.63,221.742674,7.143
1,25-05-2012,1555444.55,0,77.22,3.561,221.744944,7.143
1,01-06-2012,1624477.58,0,77.95,3.501,221.7472139,7.143
1,08-06-2012,1697230.96,0,78.3,3.452,221.7494839,7.143
1,15-06-2012,1630607,0,79.35,3.393,221.7626421,7.143
1,22-06-2012,1527845.81,0,78.39,3.346,221.8030211,7.143
1,29-06-2012,1540421.49,0,84.88,3.286,221.8434,7.143
1,06-07-2012,1769854.16,0,81.57,3.227,221.8837789,6.908
1,13-07-2012,1527014.04,0,77.12,3.256,221.9241579,6.908
1,20-07-2012,1497954.76,0,80.42,3.311,221.9327267,6.908
1,27-07-2012,1439123.71,0,82.66,3.407,221.9412954,6.908
1,03-08-2012,1631135.79,0,86.11,3.417,221.9498642,6.908
1,10-08-2012,1592409.97,0,85.05,3.494,221.9584329,6.908
1,17-08-2012,1597868.05,0,84.85,3.571,222.0384109,6.908
1,24-08-2012,1494122.38,0,77.66,3.62,222.1719457,6.908
1,31-08-2012,1582083.4,0,80.49,3.638,222.3054805,6.908
1,07-09-2012,1661767.33,1,83.96,3.73,222.4390153,6.908
1,14-09-2012,1517428.87,0,74.97,3.717,222.5820193,6.908
1,21-09-2012,1506126.06,0,69.87,3.721,222.7818386,6.908
1,28-09-2012,1437059.26,0,76.08,3.666,222.9816579,6.908
1,05-10-2012,1670785.97,0,68.55,3.617,223.1814772,6.573
1,12-10-2012,1573072.81,0,62.99,3.601,223.3812965,6.573
1,19-10-2012,1508068.77,0,67.97,3.594,223.4257233,6.573
1,26-10-2012,1493659.74,0,69.16,3.506,223.4442513,6.573
2,06-01-2012,1799520.14,0,46.75,3.157,219.355063,7.057
2,13-01-2012,1744725.48,0,45.99,3.261,219.5328198,7.057
2,20-01-2012,1711769.11,0,51.7,3.268,219.6258417,7.057
2,27-01-2012,1660906.14,0,50.5,3.29,219.7188636,7.057
2,03-02-2012,1935299.94,0,55.21,3.36,219.8118854,7.057
2,10-02-2012,2103322.68,1,46.98,3.409,219.9049073,7.057
2,17-02-2012,2196688.46,0,43.82,3.51,220.0651993,7.057
2,24-02-2012,1861802.7,0,54.63,3.555,220.275944,7.057
2,02-03-2012,1952555.66,0,58.79,3.63,220.4866886,7.057
2,09-03-2012,1937628.26,0,57.11,3.669,220.6974332,7.057
2,16-03-2012,1976082.13,0,63.68,3.734,220.8498468,7.057
2,23-03-2012,1790439.16,0,64.01,3.787,220.9244858,7.057
2,30-03-2012,1857480.84,0,66.83,3.845,220.9991248,7.057
2,06-04-2012,2129035.91,0,68.43,3.891,221.0737638,6.891
2,13-04-2012,1935869.1,0,68.08,3.891,221.1484028,6.891
2,20-04-2012,1847344.45,0,65.69,3.877,221.2021074,6.891
2,27-04-2012,1764133.09,0,67.2,3.814,221.255812,6.891
2,04-05-2012,1923957.09,0,76.73,3.749,221.3095166,6.891
2,11-05-2012,1917520.99,0,73.87,3.688,221.3632212,6.891
2,18-05-2012,2000940.67,0,71.27,3.63,221.380331,6.891
2,25-05-2012,1912791.09,0,78.19,3.561,221.3828029,6.891
2,01-06-2012,1910092.37,0,78.38,3.501,221.3852748,6.891
2,08-06-2012,2010216.49,0,78.69,3.452,221.3877467,6.891
2,15-06-2012,1962924.3,0,80.56,3.393,221.4009901,6.891
2,22-06-2012,1887733.21,0,81.04,3.346,221.4411622,6.891
2,29-06-2012,1881046.12,0,86.32,3.286,221.4813343,6.891
2,06-07-2012,2041507.4,0,84.2,3.227,221.5215064,6.565
2,13-07-2012,1830075.13,0,80.17,3.256,221.5616784,6.565
2,20-07-2012,1819666.46,0,83.23,3.311,221.5701123,6.565
2,27-07-2012,1757923.88,0,86.37,3.407,221.5785461,6.565
2,03-08-2012,1946104.64,0,90.22,3.417,221.5869799,6.565
2,10-08-2012,1866719.96,0,88.55,3.494,221.5954138,6.565
2,17-08-2012,1928016.01,0,84.79,3.571,221.6751459,6.565
2,24-08-2012,1876788.15,0,76.91,3.62,221.8083518,6.565
2,31-08-2012,1947083.3,0,82.64,3.638,221.9415576,6.565
2,07-09-2012,1898777.07,1,87.65,3.73,222.0747635,6.565
2,14-09-2012,1814806.63,0,75.88,3.717,222.2174395,6.565
2,21-09-2012,1829415.67,0,71.09,3.721,222.4169362,6.565
2,28-09-2012,1746470.56,0,79.45,3.666,222.6164329,6.565
2,05-10-2012,1998321.04,0,70.27,3.617,222.8159296,6.17
2,12-10-2012,1900745.13,0,60.97,3.601,223.0154263,6.17
2,19-10-2012,1847990.41,0,68.08,3.594,223.0598077,6.17
2,26-10-2012,1834458.35,0,69.79,3.506,223.0783366,6.17
3,06-01-2012,398178.21,0,52.42,3.157,223.1923049,6.833
3,13-01-2012,367438.62,0,51.86,3.261,223.3755259,6.833
3,20-01-2012,365818.61,0,56.2,3.268,223.4700552,6.833
3,27-01-2012,349518.1,0,58.06,3.29,223.5645845,6.833
3,03-02-2012,424960.66,0,59.33,3.36,223.6591137,6.833
3,10-02-2012,473292.47,1,51.65,3.409,223.753643,6.833
3,17-02-2012,475591.08,0,52.39,3.51,223.9170153,6.833
3,24-02-2012,418925.47,0,60.12,3.555,224.1320199,6.833
3,02-03-2012,469752.56,0,61.65,3.63,224.3470245,6.833
3,09-03-2012,445162.05,0,60.71,3.669,224.5620291,6.833
3,16-03-2012,411775.8,0,64,3.734,224.7166953,6.833
3,23-03-2012,413907.25,0,66.53,3.787,224.7909104,6.833
3,30-03-2012,407488.84,0,69.36,3.845,224.8651254,6.833
3,06-04-2012,503232.13,0,73.01,3.891,224.9393405,6.664
3,13-04-2012,420789.74,0,72.83,3.891,225.0135556,6.664
3,20-04-2012,434822.13,0,72.05,3.877,225.0689541,6.664
